,ref_type,ref_scale,deblurr,variance_img_diff,powerDropoff,covfrac,amp,logcamp
440,dime,2,True,5e-08,3.0,0.33,1.0,1.0
441,dime,2,True,5e-08,3.0,0.5,0.1,0.0
442,dime,2,True,5e-08,3.0,0.5,0.1,0.5
443,dime,2,True,5e-08,3.0,0.5,0.1,1.0
444,dime,2,True,5e-08,3.0,0.5,0.5,0.0
445,dime,2,True,5e-08,3.0,0.5,0.5,0.5
446,dime,2,True,5e-08,3.0,0.5,0.5,1.0
447,dime,2,True,5e-08,3.0,0.5,1.0,0.0
448,dime,2,True,5e-08,3.0,0.5,1.0,0.5
449,dime,2,True,5e-08,3.0,0.5,1.0,1.0
450,dime,2,True,5e-08,4.0,0.33,0.1,0.0
451,dime,2,True,5e-08,4.0,0.33,0.1,0.5
452,dime,2,True,5e-08,4.0,0.33,0.1,1.0
453,dime,2,True,5e-08,4.0,0.33,0.5,0.0
454,dime,2,True,5e-08,4.0,0.33,0.5,0.5
455,dime,2,True,5e-08,4.0,0.33,0.5,1.0
456,dime,2,True,5e-08,4.0,0.33,1.0,0.0
457,dime,2,True,5e-08,4.0,0.33,1.0,0.5
458,dime,2,True,5e-08,4.0,0.33,1.0,1.0
459,dime,2,True,5e-08,4.0,0.5,0.1,0.0
460,dime,2,True,5e-08,4.0,0.5,0.1,0.5
461,dime,2,True,5e-08,4.0,0.5,0.1,1.0
462,dime,2,True,5e-08,4.0,0.5,0.5,0.0
463,dime,2,True,5e-08,4.0,0.5,0.5,0.5
